Date,Price,PredictedPrice
2019-01-02,157.92,167.20
2019-01-03,142.19,167.30
2019-01-04,148.26,167.40
2019-01-07,147.93,167.50
2019-01-08,150.75,167.61
2019-01-09,153.31,167.72
2019-01-10,153.80,167.83
2019-01-11,152.29,167.95
2019-01-14,150.00,168.07
2019-01-15,153.07,168.19
2019-01-16,154.94,168.31
2019-01-17,155.86,168.44
2019-01-18,156.82,168.57
2019-01-22,153.30,168.70
2019-01-23,153.92,168.83
2019-01-24,152.70,168.97
2019-01-25,157.76,169.11
2019-01-28,156.30,169.25
2019-01-29,154.68,169.40
2019-01-30,165.25,169.55
2019-01-31,166.44,169.70
2019-02-01,166.52,169.85
2019-02-04,171.25,170.01
2019-02-05,174.18,170.17
2019-02-06,174.24,170.33
2019-02-07,170.94,170.49
2019-02-08,170.41,170.66
2019-02-11,169.43,170.83
2019-02-12,170.89,171.00
2019-02-13,170.18,171.18
2019-02-14,170.80,171.36
2019-02-15,170.42,171.54
2019-02-19,170.93,171.72
2019-02-20,172.03,171.91
2019-02-21,171.06,172.10
2019-02-22,172.97,172.29
2019-02-25,174.23,172.49
2019-02-26,174.23,172.68
2019-02-27,174.87,172.88
2019-02-28,173.15,173.09
2019-03-01,174.97,173.29
2019-03-04,175.85,173.50
2019-03-05,175.53,173.71
2019-03-06,174.52,173.93
2019-03-07,172.50,174.14
2019-03-08,172.91,174.36
2019-03-11,178.90,174.58
2019-03-12,180.91,174.81
2019-03-13,181.71,175.04
2019-03-14,183.73,175.27
2019-03-15,186.12,175.50
2019-03-18,188.02,175.74
2019-03-19,186.53,175.97
2019-03-20,188.16,176.22
2019-03-21,195.09,176.46
2019-03-22,191.05,176.71
2019-03-25,188.74,176.96
2019-03-26,186.79,177.21
2019-03-27,188.47,177.46
2019-03-28,188.72,177.72
2019-03-29,189.95,177.98
2019-04-01,191.24,178.24
2019-04-02,194.02,178.51
2019-04-03,195.35,178.78
2019-04-04,195.69,179.05
2019-04-05,197.00,179.32
2019-04-08,200.10,179.60
2019-04-09,199.50,179.88
2019-04-10,200.62,180.16
2019-04-11,198.95,180.45
2019-04-12,198.87,180.74
2019-04-15,199.23,181.03
2019-04-16,199.25,181.32
2019-04-17,203.13,181.62
2019-04-18,203.86,181.92
2019-04-22,204.53,182.22
2019-04-23,207.48,182.52
2019-04-24,207.16,182.83
2019-04-25,205.28,183.14
2019-04-26,204.30,183.45
2019-04-29,204.61,183.77
2019-04-30,200.67,184.08
2019-05-01,210.52,184.41
2019-05-02,209.15,184.73
2019-05-03,211.75,185.05
2019-05-06,208.48,185.38
2019-05-07,202.86,185.72
2019-05-08,202.90,186.05
2019-05-09,200.72,186.39
2019-05-10,197.18,186.73
2019-05-13,185.72,187.07
2019-05-14,188.66,187.42
2019-05-15,190.92,187.76
2019-05-16,190.08,188.11
2019-05-17,189.00,188.47
2019-05-20,183.09,188.82
2019-05-21,186.60,189.18
2019-05-22,182.78,189.54
2019-05-23,179.66,189.91
2019-05-24,178.97,190.28
2019-05-28,178.23,190.65
2019-05-29,177.38,191.02
2019-05-30,178.30,191.40
2019-05-31,175.07,191.77
2019-06-03,173.30,192.15
2019-06-04,179.64,192.54
2019-06-05,182.54,192.92
2019-06-06,185.22,193.31
2019-06-07,190.15,193.71
2019-06-10,192.58,194.10
2019-06-11,194.81,194.50
2019-06-12,194.19,194.90
2019-06-13,194.15,195.30
2019-06-14,192.74,195.71
2019-06-17,193.89,196.12
2019-06-18,198.45,196.53
2019-06-19,197.87,196.94
2019-06-20,199.46,197.36
2019-06-21,198.78,197.78
2019-06-24,198.58,198.20
2019-06-25,195.57,198.62
2019-06-26,199.80,199.05
2019-06-27,199.74,199.48
2019-06-28,197.92,199.91
2019-07-01,201.55,200.35
2019-07-02,202.73,200.79
2019-07-03,204.41,201.23
2019-07-05,204.23,201.67
2019-07-08,200.02,202.12
2019-07-09,201.24,202.57
2019-07-10,203.23,203.02
2019-07-11,201.75,203.48
2019-07-12,203.30,203.93
2019-07-15,205.21,204.39
2019-07-16,204.50,204.86
2019-07-17,203.35,205.32
2019-07-18,205.66,205.79
2019-07-19,202.59,206.26
2019-07-22,207.22,206.74
2019-07-23,208.84,207.22
